Code;Abiotic heterogeneity;Biodiversity;Biotic waterflows;Metabolic efficiency;Exergy Capture (Radiation);Reduction of Nutrient loss;Storage capacity (SOM);Ecological integrity (steiles B - H);Crops;Livestock;Fodder;Capture Fisheries;Acquaculture;Wild Foods;Timber;Wood Fuel;Energy;Biochemicals/Medicine;Freshwater;Provisioning ecosystem services (J - T);Local climate regulation;Global climate regulation;Flood protection;Groundwater recharge;Air Quality Regulation;Erosion regulation;Nutrient regulation ;Water purification;Pollination;Regulating ecosystem services (V - AD);Recreation & Aesthetic values ;Intrinsic value of biodiversity;Cultural ecosystem services (AF - AG)
111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
112;1;1;1;1;1;1;1;7;1;0;1;0;0;1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
121;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
122;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;1
124;1;1;1;1;1;2;0;7;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
131;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
132;2;1;0;0;0;0;5;8;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
133;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;3;3;2;1;4;3;2;18;0;0;0;0;0;1;0;1;0;0;0;2;2;1;0;2;1;2;1;1;1;11;3;0;3
142;2;2;2;1;4;3;2;16;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;1;9;5;0;5
